"rodents","unitflr","brokenwin","brokenfloor","intcracks","intleaks","personrm","bldg"
1,5,0,1,1,1,0.25,33
1,6,0,1,1,0,0.33,35
1,5,0,1,0,0,1.67,35
1,6,0,0,0,0,0.4,39
0,3,0,0,0,0,1,48
0,8,0,0,0,0,0.33,52
1,8,0,0,1,0,0.83,52
0,7,0,0,0,0,0.8,60
0,7,0,0,0,0,0.5,71
1,7,0,0,1,0,0.75,71
1,7,0,0,0,0,0.67,71
1,3,0,0,0,0,0.5,77
1,4,0,0,0,0,1,77
0,8,0,0,0,1,0.5,83
0,8,0,0,0,0,1,83
0,8,0,0,1,1,0.5,83
0,8,0,0,0,0,0.75,83
1,6,0,0,0,1,1.33,85
0,6,0,0,0,0,0.33,85
0,6,0,0,0,0,0.67,85
0,6,0,0,0,0,0.75,85
1,6,0,0,1,1,0.6,101
1,4,1,0,1,1,1.33,1390
1,3,0,0,0,0,1,121
1,4,0,0,0,0,0.25,121
0,6,0,0,0,0,0.25,130
0,6,0,0,0,0,0.4,130
1,5,0,0,0,0,0.25,130
1,2,0,0,0,0,0.75,143
1,2,0,0,1,1,0.67,147
0,2,0,0,0,0,0.33,147
1,3,0,0,1,1,3,147
0,3,0,0,0,0,0.75,167
0,4,0,0,0,0,0.33,185
1,3,0,1,0,0,1,205
0,3,0,1,0,0,0.25,205
1,3,0,1,0,0,0.25,205
1,3,0,1,1,0,0.25,205
1,4,0,0,0,0,0.67,206
0,4,0,0,0,0,0.8,215
1,4,0,0,1,0,0.4,215
1,5,0,0,0,1,1,215
0,5,0,0,0,0,1,215
1,6,0,1,0,0,1,221
0,2,1,0,1,0,0.67,1403
0,3,1,0,1,0,0.33,1403
0,2,0,0,0,0,0.6,236
0,4,0,0,0,0,1,240
1,4,0,0,0,0,1,240
0,5,0,0,0,1,1,240
1,2,0,0,1,1,1.5,268
0,3,0,0,1,1,0.67,268
1,3,0,0,0,1,0.75,268
1,3,0,0,1,1,0.33,268
0,4,0,0,1,1,1,275
0,5,0,1,1,1,0.83,277
0,5,0,1,0,1,1,277
0,2,0,0,0,0,0.33,289
0,3,0,0,1,0,1,289
1,5,1,0,1,0,1,301
1,2,0,0,1,1,0.75,306
1,4,0,0,0,1,0.5,319
1,5,0,0,0,0,1,323
1,5,0,0,0,0,1,324
1,3,0,0,0,0,0.33,347
0,6,0,0,0,0,0.25,1393
1,3,0,0,0,1,0.75,362
0,6,0,0,0,0,0.67,365
1,6,0,0,0,1,0.67,365
1,4,0,0,0,1,0.33,376
0,5,0,0,0,1,0.5,376
0,4,0,0,0,0,0.4,408
1,4,1,1,1,1,0.25,409
1,1,0,0,1,0,1.33,429
1,1,0,0,0,0,1.5,429
0,2,0,0,1,1,0.8,429
0,2,0,0,0,1,0.33,429
0,2,0,0,0,1,1,430
0,1,0,0,0,0,0.75,430
1,3,0,0,0,0,0.6,445
0,4,0,0,0,1,0.6,446
1,6,0,0,1,1,0.33,450
1,2,0,0,0,0,1.25,450
0,2,0,0,0,0,0.67,450
0,2,0,0,0,1,0.75,451
0,3,0,0,0,0,1,451
0,2,0,0,0,1,0.67,460
0,2,0,0,0,0,0.5,460
1,7,0,0,0,0,0.83,479
1,7,0,0,0,0,0.33,479
1,7,0,0,1,1,0.67,479
1,2,0,0,0,1,1.33,492
1,2,0,0,0,0,1,492
0,3,0,0,0,0,1,499
1,3,0,0,0,0,1.5,500
0,3,0,0,0,0,0.33,517
1,6,0,0,0,0,0.75,527
1,3,1,1,1,1,0.43,543
1,4,0,0,0,1,2,569
1,4,0,0,0,1,1,569
1,5,0,0,1,1,0.33,569
1,5,0,0,0,0,1,570
1,5,0,0,1,1,0.5,573
1,2,0,0,0,0,0.33,580
1,6,0,0,0,0,0.5,594
0,1,0,0,0,1,1.25,594
1,2,0,0,1,0,0.5,594
0,7,0,0,0,0,1,603
1,3,0,0,1,0,1,611
1,6,0,0,0,0,0.4,623
1,6,0,0,1,0,1,623
1,6,0,0,0,0,0.33,623
0,6,0,0,0,0,0.5,623
0,3,0,0,0,0,0.25,629
1,3,0,0,0,1,0.75,629
0,3,0,0,0,0,0.33,629
1,3,0,0,1,1,0.33,633
0,2,0,0,0,0,0.67,645
0,3,0,0,0,0,0.2,645
0,2,0,0,0,0,1.33,645
0,3,0,0,0,0,0.67,645
0,5,0,0,0,0,0.43,654
1,5,0,0,1,0,0.67,681
1,5,0,0,1,0,0.75,681
1,5,0,0,1,0,0.25,681
0,3,0,0,0,0,1,688
1,2,0,0,0,0,1.25,688
0,4,0,0,0,0,0.33,692
1,4,0,0,1,0,0.5,692
0,4,0,0,0,0,0.75,692
0,4,0,0,0,0,0.67,692
0,4,0,0,0,0,0.4,698
1,4,0,0,0,0,0.5,698
0,6,0,0,0,0,0.33,701
0,6,0,0,0,1,0.33,701
1,6,0,0,0,1,1,701
1,6,0,0,1,1,0.33,701
0,2,0,0,0,0,0.67,711
0,2,0,0,0,0,0.5,711
0,2,0,0,1,1,0.75,711
0,3,0,0,0,0,0.5,711
1,6,0,0,1,0,0.33,720
1,2,0,1,1,1,1,721
1,4,0,0,0,0,0.83,748
0,2,0,0,0,0,0.56,761
1,2,0,0,0,1,0.6,768
0,3,0,0,0,0,0.6,775
0,2,0,0,0,0,0.8,785
0,4,0,0,0,0,0.75,785
0,2,0,0,0,1,0.5,789
0,3,0,0,1,0,0.33,797
0,4,0,0,1,1,0.75,797
1,3,0,0,0,1,0.5,811
0,2,0,0,0,0,0.5,815
0,2,0,0,0,0,0.75,821
0,3,0,0,0,1,0.5,839
0,2,0,0,0,0,0.33,852
1,5,0,0,0,0,0.33,853
0,5,0,0,0,0,0.33,853
0,4,0,1,1,1,0.75,880
0,4,0,1,0,1,0.6,880
1,2,0,0,0,1,2,881
1,2,0,0,1,1,0.33,881
1,2,0,0,0,1,0.4,881
0,3,0,0,1,1,0.5,881
0,4,0,0,0,1,1.33,903
1,3,0,0,1,0,2,923
0,3,0,0,0,0,0.33,923
0,3,0,0,1,1,1.33,923
0,3,1,0,0,0,1.33,924
0,8,0,0,0,0,0.25,937
1,2,0,0,0,0,0.25,949
0,4,0,0,1,1,0.67,953
0,3,0,0,0,0,0.8,961
0,2,0,0,0,0,0.2,961
0,2,0,0,0,1,1,979
0,2,0,0,0,0,0.25,992
0,2,0,0,0,0,0.29,992
0,3,0,0,0,0,0.33,1021
0,9,0,0,0,0,0.6,1031
0,9,0,0,0,0,1,1031
0,9,0,0,0,0,0.25,1031
0,8,0,0,1,0,0.2,1040
0,7,0,0,0,0,1.2,1040
0,7,0,0,0,0,0.5,1040
0,9,0,0,0,0,0.75,1045
0,9,0,0,0,0,0.4,1045
0,8,0,0,1,0,0.75,1050
0,8,0,0,1,0,0.33,1050
0,8,0,0,0,0,1.33,1050
0,2,0,0,0,0,0.5,1055
0,3,0,0,0,0,1.25,1055
0,3,0,0,0,1,1,1058
0,3,0,0,0,0,0.25,1058
0,3,0,0,0,0,0.33,1117
0,2,0,0,0,0,1,1117
0,3,0,1,1,1,1.67,1131
1,4,0,0,0,1,0.67,1142
0,6,0,0,0,0,0.5,1159
0,3,0,0,0,0,1,1171
0,3,0,0,0,0,0.33,1171
0,4,0,0,0,1,1,1172
0,4,0,0,0,0,0.33,1172
1,5,0,0,0,1,1.33,1187
1,7,0,0,1,0,1.67,1187
0,7,0,0,0,0,1,1192
0,3,0,0,0,0,0.25,1231
1,2,0,0,1,1,0.86,1235
0,3,0,0,0,0,0.33,1241
1,3,0,0,1,1,1,1270
0,3,0,0,1,0,0.6,1271
0,2,0,0,1,1,1,1271
0,2,0,0,0,0,0.83,1273
0,5,0,0,0,1,1,1277
0,5,0,0,1,0,0.33,1277
0,5,0,0,0,1,0.33,1277
0,3,0,1,0,0,1.2,1279
0,2,0,0,1,0,0.2,1280
0,3,0,0,0,0,0.83,1280
0,2,0,0,0,0,0.8,1280
0,2,0,0,0,0,0.75,1280
0,4,0,0,0,1,0.33,1313
0,2,0,0,0,1,0.75,1313
0,3,0,0,0,0,0.5,1313
0,2,0,0,0,0,0.44,1314
1,1,1,1,1,1,1,1331
0,2,0,0,0,0,0.4,1341
0,3,0,0,0,0,0.67,1341
0,2,0,0,0,0,0.4,1341
1,2,0,0,1,1,0.75,1345
0,3,0,0,1,1,0.5,1345
0,3,0,0,0,0,0.5,1372
0,4,0,0,0,0,1.14,1417
0,2,0,0,0,0,0.2,1420
0,2,0,0,0,0,0.2,1420
0,3,0,0,0,0,0.2,1420
0,2,0,0,0,0,1,1432
0,3,0,0,0,0,0.4,1432
0,4,0,0,0,0,0.6,1460
0,2,0,0,0,0,0.33,1471
0,3,0,0,0,0,0.25,1472
0,4,0,0,0,0,0.5,1472
0,2,0,0,0,0,1,1472
1,4,0,0,1,0,1,1478
0,2,0,0,0,0,0.25,1487
0,2,0,0,0,1,0.5,1493
0,3,0,0,0,0,0.33,1493
1,4,0,0,1,0,0.5,1493
0,4,0,0,0,0,1.33,1499
0,4,0,0,0,0,0.2,1499
0,4,0,0,0,0,0.25,1499
0,2,0,0,0,0,0.25,1506
0,3,0,0,0,0,0.5,1506
0,3,0,0,0,0,0.5,1506
1,3,0,0,1,0,1,1508
0,6,0,0,0,0,0.33,1535
0,6,0,0,0,0,0.67,1535
0,6,0,0,0,0,1.5,1540
1,2,0,0,0,0,0.6,1548
0,4,0,0,0,0,1,1548
0,2,0,0,0,0,0.5,1554
0,4,0,0,0,0,0.5,4094
0,4,0,0,0,0,0.75,4120
0,8,0,0,0,0,0.25,1566
1,8,0,0,0,0,0.6,1566
0,4,0,0,0,0,1.33,1584
0,4,0,0,0,0,0.33,1588
0,5,0,0,0,0,0.33,1592
0,4,0,0,0,1,0.5,1598
0,4,0,0,0,0,0.5,1633
0,4,0,0,0,0,0.33,1645
0,4,0,0,0,0,0.5,1645
0,4,0,0,0,0,0.6,1645
0,3,0,0,0,0,0.44,1653
0,2,0,0,0,1,0.44,1664
0,3,0,0,0,0,0.25,1686
1,3,0,0,0,1,0.75,1686
0,6,1,0,0,0,0.6,1699
0,2,0,0,0,0,0.2,1704
1,2,0,1,1,1,0.25,4109
0,3,0,0,0,1,0.8,1729
0,3,0,0,0,0,1.5,1733
0,2,0,0,0,0,0.33,1743
0,2,0,0,0,0,0.17,1749
1,2,0,0,0,0,0.5,1753
0,2,0,0,0,0,0.2,1753
1,4,0,0,0,0,1.25,1759
1,4,0,0,0,0,0.33,1759
0,2,0,0,0,0,0.8,1761
0,4,0,0,0,0,1,1770
0,2,0,0,0,0,0.22,1772
1,2,0,0,0,0,0.8,1774
0,4,0,1,0,1,1,1775
0,2,0,0,0,0,0.6,1777
0,8,0,0,1,1,0.67,1844
0,8,0,0,0,0,1,1844
0,8,0,0,0,0,0.2,1844
0,8,0,0,0,0,0.25,1844
1,2,0,0,0,0,2,1853
1,3,0,0,0,0,1.4,1853
1,3,0,0,0,0,0.67,1859
1,2,0,0,0,0,1,1860
0,2,0,0,0,0,0.56,1872
1,3,0,0,0,0,0.5,1880
0,2,0,0,0,0,0.67,1881
1,3,0,0,1,0,1,1887
0,2,0,0,0,0,0.33,1903
1,3,0,0,1,1,0.8,1903
0,2,0,0,0,0,0.57,1921
1,3,0,0,0,1,1,1927
0,4,0,0,0,0,1.5,1931
0,2,0,0,0,0,0.33,1931
0,2,0,0,0,0,0.33,1931
0,3,0,0,0,0,0.75,1931
1,2,0,0,0,1,0.43,1936
0,6,0,0,0,0,0.33,1938
0,6,0,0,0,0,0.67,1938
0,6,0,0,0,0,0.33,1938
0,6,0,0,1,0,0.33,1938
1,3,0,0,0,0,1,1952
0,3,0,0,0,1,0.75,1952
1,4,0,0,0,0,1,1952
0,2,0,0,0,0,0.5,1970
1,2,0,0,0,0,0.8,1989
0,3,0,0,0,0,0.67,1989
0,1,0,0,0,0,0.33,2071
1,2,0,1,1,1,1,2092
0,7,0,0,1,0,0.25,2100
1,7,0,0,1,1,0.33,2100
1,7,0,0,0,1,0.67,2100
0,7,0,0,0,0,0.25,2100
0,7,0,0,0,0,1.5,2107
0,7,0,0,0,1,0.8,2107
1,7,0,0,0,0,0.75,2107
0,7,0,0,0,0,0.33,2122
1,7,0,0,0,0,0.67,2123
0,7,0,0,0,0,0.67,2124
0,7,0,0,0,0,0.67,2137
0,7,0,0,0,0,1,2137
0,7,0,0,0,0,0.67,2137
0,2,0,0,0,1,0.5,2137
0,2,0,0,0,0,0.5,2138
1,2,0,0,0,0,0.33,2138
0,2,0,0,0,0,0.2,2138
0,2,0,0,0,1,0.75,4113
1,2,0,0,0,0,0.75,4113
0,3,0,0,0,0,0.4,4113
0,4,0,0,0,0,0.25,4113
0,4,0,0,0,1,1,2151
0,7,0,0,0,0,0.67,2155
0,7,0,0,1,0,0.33,2156
0,3,0,0,0,0,0.25,2160
0,5,0,0,0,1,0.2,2176
0,2,0,0,0,1,0.4,2183
1,2,0,0,0,1,0.44,2202
0,2,0,0,0,0,0.8,2203
0,2,0,0,0,0,0.75,2217
0,3,0,0,0,1,0.4,2217
0,4,0,0,0,0,0.6,2217
0,2,0,0,1,1,0.57,2218
0,4,0,0,1,0,1,2231
1,2,0,0,0,0,0.25,2235
1,3,0,0,1,1,0.25,2235
1,4,0,0,0,0,0.33,2258
1,4,0,0,0,0,0.33,2258
1,4,0,0,0,0,0.33,2258
0,3,0,0,0,1,0.22,2261
0,2,0,0,0,0,1,2273
0,2,0,0,0,0,1,2273
0,2,0,0,0,0,1,2274
1,5,0,0,0,0,2,2286
1,6,0,0,0,1,0.67,2286
1,6,0,0,0,0,1.5,2286
1,6,0,0,1,0,0.5,2286
1,4,0,0,1,1,1,2290
1,4,0,0,0,0,0.8,2290
0,2,0,0,0,1,0.2,2310
0,2,0,0,0,0,0.6,2310
0,2,0,0,0,0,1.5,2315
0,3,0,0,0,0,1.17,2315
0,4,0,0,0,0,1.33,2323
0,5,0,0,0,0,1,2323
0,3,0,0,0,0,0.67,2356
0,2,0,1,0,0,1,2375
0,2,0,1,0,0,2,2375
0,2,0,1,0,0,1.25,2395
0,5,1,0,0,0,0.33,2402
0,3,0,0,0,0,1,2413
0,2,0,0,0,1,0.5,2416
0,2,0,0,0,0,0.67,2416
1,3,0,0,0,0,0.6,2416
1,2,0,0,0,0,0.17,2442
1,3,0,0,1,0,0.67,2462
0,3,0,0,0,1,0.5,2462
1,4,0,0,0,1,0.67,2462
0,2,0,0,1,1,0.25,2465
1,2,0,0,1,1,0.86,2471
1,3,0,0,0,1,1.14,2471
1,3,0,0,1,1,0.6,2482
1,3,0,0,0,0,1,2496
0,4,0,0,1,0,0.75,2496
0,4,0,0,0,1,0.5,2535
1,3,0,1,1,1,1,2552
0,2,0,0,1,1,0.5,2553
0,2,0,0,0,0,0.25,2553
1,6,0,0,0,0,0.25,2554
0,6,0,0,0,0,0.5,2554
0,7,0,0,0,0,0.5,2554
1,4,0,0,1,1,0.75,2555
0,4,0,0,0,1,1.75,2555
1,4,0,0,0,0,0.2,2555
0,5,0,0,0,0,1.25,2555
0,2,0,0,0,0,0.22,2559
1,4,0,0,0,1,1,2584
1,7,0,0,0,0,1,2591
1,7,0,0,1,0,2,2591
1,3,0,0,1,1,1.67,2597
0,4,0,0,0,0,0.75,2597
0,2,0,0,0,0,0.5,2617
0,3,0,0,0,0,0.67,2626
0,5,0,0,0,0,0.75,2637
1,5,0,0,0,0,0.75,2637
0,2,0,0,0,0,0.33,2637
1,7,0,0,0,0,1.33,2667
0,7,0,0,0,0,1,2667
0,7,0,0,0,0,0.67,2667
0,7,0,0,0,0,1,2667
0,2,0,0,0,0,0.22,2674
0,2,0,0,0,0,0.22,2674
0,2,0,0,0,0,0.22,2674
0,5,0,0,0,0,0.5,2707
0,3,0,0,0,0,0.33,2707
0,4,0,0,1,0,1,2707
1,5,0,0,1,1,1,2707
0,2,0,0,0,0,0.8,2733
0,5,0,0,0,0,0.33,2738
0,5,0,0,0,1,1,2738
0,6,0,0,0,0,0.33,2738
0,5,0,0,0,0,2,2749
0,5,0,0,0,0,1,2749
0,3,0,0,0,0,0.4,2764
0,2,0,0,0,0,0.86,2764
0,2,0,0,0,0,0.2,2772
0,3,0,0,0,0,0.5,2772
1,3,0,0,0,0,2,2785
0,3,0,0,0,0,0.25,2785
0,4,0,0,0,0,0.5,2793
0,2,0,0,0,1,0.25,2793
0,2,0,0,0,0,0.5,2793
0,3,0,0,0,0,0.25,2793
0,6,0,0,1,0,0.33,2804
1,6,0,0,0,0,0.33,2804
0,7,0,0,0,0,0.33,2804
0,2,0,0,0,0,1,2821
0,4,0,0,0,0,0.33,2822
0,2,0,0,0,0,1,2828
0,3,0,0,0,0,0.33,2840
1,4,0,0,0,0,1.33,2845
1,3,0,0,0,0,0.5,2853
0,2,0,0,0,0,1,2871
0,2,0,0,0,0,0.29,2899
0,3,0,0,0,0,0.75,2899
0,2,0,0,0,0,0.6,2899
0,2,0,0,0,0,0.2,2902
0,3,0,0,0,0,0.2,2902
0,3,0,0,0,0,0.67,2906
0,3,0,0,0,0,0.5,2906
0,3,0,0,0,0,0.33,2906
0,3,0,0,0,0,0.25,2906
0,2,0,0,0,0,0.8,2909
0,3,0,0,0,0,0.75,2918
0,3,0,0,0,0,0.25,2921
0,2,0,0,0,0,0.67,2921
0,3,0,0,0,0,0.25,2921
0,3,0,0,1,1,0.33,2921
0,3,0,0,0,0,1,2930
0,3,0,0,0,0,0.25,2943
0,2,0,0,0,0,1.5,2945
0,2,0,0,0,0,1,2952
0,3,0,0,0,0,0.5,2952
0,3,0,0,0,0,1,2958
0,2,0,0,0,0,1,2966
1,2,0,0,1,1,0.67,2966
0,2,0,0,1,0,0.67,3001
0,2,0,0,0,0,0.57,3012
0,2,0,0,0,0,0.43,3054
0,2,0,0,0,0,0.75,3055
0,4,0,0,0,0,1.25,3072
0,2,0,0,0,0,1.5,3076
0,7,0,0,0,0,0.33,3104
1,4,1,1,0,0,1.5,3114
0,4,0,0,1,0,1,3117
1,2,0,0,0,0,1.57,3119
0,7,0,0,0,0,1.33,3146
0,4,0,0,0,0,0.5,3166
0,3,0,0,0,0,0.5,3197
1,7,0,0,0,0,0.4,3271
0,5,0,0,0,0,0.67,3282
0,2,0,0,0,0,0.22,3321
0,3,0,0,0,0,0.67,3322
0,3,0,0,0,0,0.5,3322
0,3,0,0,0,0,0.5,3322
0,7,0,0,0,0,0.67,3345
0,7,0,0,0,0,1,3345
1,5,0,0,0,0,0.75,3352
0,5,0,0,0,0,0.33,3353
1,3,0,0,1,1,0.6,3362
1,3,0,0,1,1,1,3362
1,3,0,0,0,1,0.75,3362
0,3,0,0,0,0,0.5,3382
1,4,0,0,0,1,0.5,3388
0,4,0,0,0,0,1.25,3388
1,4,0,0,1,1,2,3388
1,7,0,0,0,0,0.6,3398
0,4,0,0,0,0,1,3437
0,4,0,0,0,0,1.33,3437
0,3,0,0,0,0,1.5,3437
0,4,0,0,0,0,0.33,3437
1,3,0,0,0,0,0.33,3444
1,3,0,0,0,0,1.5,3444
0,2,0,0,0,0,1.33,3453
0,2,0,0,0,1,0.56,3469
0,2,0,0,0,0,0.11,3469
0,2,0,0,0,0,0.44,3469
0,2,0,0,0,0,0.25,3487
1,2,0,0,0,0,0.67,3487
0,2,0,0,0,0,0.67,3506
0,3,0,0,0,0,0.6,3514
0,2,0,0,0,0,0.67,3514
0,3,0,0,0,0,0.5,3514
0,2,0,0,0,0,0.33,3533
0,2,1,0,0,0,0.25,3567
0,7,0,0,0,1,1,3573
1,7,0,0,1,1,1,3573
0,2,0,0,0,0,0.67,3580
0,3,0,0,0,0,0.33,3593
0,3,0,0,0,1,0.67,3595
0,5,0,0,0,1,0.33,3609
0,6,0,0,0,0,1.75,3609
0,6,0,0,0,0,1,3609
0,5,0,0,1,0,0.33,3614
0,5,0,0,0,0,0.2,3614
0,5,0,0,0,0,0.5,3614
0,2,0,0,0,0,1,3616
0,3,0,0,0,0,1,3652
1,2,0,0,0,0,0.75,3655
0,2,0,0,0,0,0.14,3668
0,6,0,0,0,0,0.33,3714
1,5,1,0,0,0,0.67,3726
0,3,0,0,0,0,0.25,4079
0,3,0,0,0,0,1,4079
0,3,0,0,0,0,0.33,4079
0,1,0,0,0,0,0.5,3756
0,2,0,0,0,0,0.2,3756
0,3,0,0,0,0,1,3758
0,3,0,0,0,0,0.33,3772
1,3,0,0,0,0,0.5,3772
0,1,0,0,0,0,1.5,3788
0,3,0,0,0,0,0.33,3788
0,3,0,0,0,0,0.22,3802
0,3,0,0,0,0,0.83,3803
0,2,0,0,0,0,0.56,3803
0,5,0,0,0,0,0.25,3811
1,3,0,0,0,0,0.5,3844
1,3,0,0,0,0,0.5,3844
0,3,0,0,0,1,1,3847
1,4,0,0,1,1,2,3847
0,4,0,0,0,0,1,3847
1,7,0,0,0,1,1,3854
0,7,0,0,0,0,1.5,3854
0,7,0,0,0,1,0.5,3854
1,7,0,0,0,0,1,3854
1,6,0,0,0,0,0.67,3856
1,6,0,0,0,1,1.33,3856
0,6,0,0,0,0,0.67,3856
0,2,0,0,0,1,1,3865
1,5,0,0,1,1,0.4,3889
1,5,0,0,1,1,0.33,3889
1,5,0,0,0,1,0.67,3889
0,6,0,0,0,0,1,3889
1,2,0,0,0,0,0.43,3923
0,2,0,0,0,0,0.67,3964
1,3,0,0,0,0,1,3968
1,3,0,0,0,0,1,4002
0,2,0,0,0,0,0.67,4002
0,3,0,0,0,0,0.5,4002
1,2,0,0,0,0,0.67,4002
0,3,0,1,1,0,0.33,4014
0,4,0,0,0,0,0.5,4022
1,2,0,0,0,0,1.25,4027
0,3,0,0,0,0,0.5,4027
0,3,0,0,0,0,0.25,4027
0,2,0,0,0,0,0.67,4030
0,2,0,0,0,0,0.4,4030
1,2,0,0,0,0,1,4040
1,4,0,0,0,0,0.33,4059
0,3,0,0,0,0,0.25,4068
1,3,0,0,0,0,0.75,4068
1,3,0,0,0,1,0.75,4068
1,3,0,0,1,1,1,4068
0,7,0,0,0,0,1.25,4076
0,6,0,0,0,0,0.25,4076
0,4,0,0,0,0,0.25,4076
0,8,0,0,0,1,0.5,4139
0,8,0,0,0,0,1,4148
0,7,0,0,0,0,0.25,4161
0,3,0,0,0,0,0.33,4162
1,7,0,0,1,0,1,4166
0,7,0,0,0,0,0.67,4182
0,7,0,0,0,0,0.67,4182
0,7,0,0,0,0,0.6,4182
0,4,0,0,0,0,1,4184
0,6,0,0,0,1,0.4,4197
0,5,0,0,1,0,0.33,4201
1,4,0,0,0,0,0.67,4210
0,4,0,0,0,0,1,4210
0,7,0,0,0,1,1,4210
1,4,0,0,0,0,1,4210
1,7,1,0,1,0,0.5,4227
0,3,0,0,1,0,0.33,4239
0,4,0,1,0,0,0.5,4274
0,5,1,0,1,1,0.25,4280
1,6,0,0,1,1,0.5,4282
0,7,0,0,0,0,1,4294
0,7,0,0,0,0,2,4294
0,7,0,0,0,0,0.5,4294
1,2,0,0,1,0,0.75,4334
0,3,0,0,0,0,0.4,4334
0,3,0,0,0,0,0.33,4334
0,3,0,0,0,0,0.33,4334
0,7,0,0,0,0,0.17,4340
0,7,0,0,0,0,1,4340
0,7,0,0,0,0,1,4340
1,3,0,0,0,1,0.8,4351
1,4,0,0,0,0,0.6,4351
0,5,0,0,0,0,0.5,4358
1,5,0,0,0,0,0.75,4382
1,5,0,0,0,0,0.5,4383
0,5,0,0,1,0,1,4395
0,7,0,0,0,1,1,4400
0,7,0,0,1,1,1,4400
0,6,0,0,0,0,0.33,4406
0,4,0,0,0,0,0.33,4413
1,5,0,1,0,0,0.5,4416
0,6,0,0,0,0,0.67,4418
0,1,0,0,1,1,1,4420
1,5,0,0,1,0,0.5,4423
0,6,0,0,0,1,0.67,4426
0,4,0,0,0,0,0.67,4426
0,7,0,0,0,0,0.5,4465
0,7,0,0,0,1,0.33,4465
1,7,0,0,1,1,0.6,4468
0,4,0,0,0,0,0.83,4470
1,4,1,0,1,0,0.33,4486
0,4,0,0,0,0,0.4,4504
0,2,0,0,0,0,1,6118
0,4,0,0,0,1,0.67,4538
0,8,0,0,0,0,0.33,4542
0,8,0,0,0,0,0.33,4542
1,8,0,0,0,0,0.5,4542
0,7,0,0,0,0,0.4,4546
0,8,0,0,0,0,1,4548
0,8,0,0,0,0,0.5,4548
0,8,0,0,0,0,1,4548
1,3,0,0,0,0,0.33,4564
0,4,0,0,1,1,0.5,4576
0,4,0,0,0,1,0.33,4576
1,4,0,0,0,1,0.67,4576
0,4,0,0,0,0,0.2,4576
0,3,0,0,0,1,0.5,4578
0,4,0,0,0,0,0.5,4584
0,4,0,0,0,0,0.4,4584
0,4,0,0,1,0,0.5,4584
0,4,0,0,0,0,0.33,4584
1,4,0,0,0,0,0.33,4592
0,7,0,0,0,1,1,4598
0,7,0,0,0,1,1.5,4599
0,6,0,0,0,0,0.33,4604
0,6,0,0,0,0,1,4609
0,2,0,0,0,0,0.75,4615
0,5,0,0,0,0,1,4626
0,3,0,0,0,1,1,4639
0,5,0,0,0,0,0.33,4646
0,5,0,0,0,0,0.5,4646
0,2,0,0,0,1,0.67,4674
0,7,0,0,0,0,0.33,4719
0,7,0,0,0,0,0.67,4719
0,7,0,0,0,0,0.33,4719
0,8,0,0,0,0,0.5,4724
0,9,0,0,0,0,0.4,4733
0,9,0,0,0,0,0.5,4733
0,9,0,0,0,0,0.33,4733
0,3,0,0,0,0,0.33,4744
0,3,0,0,0,0,0.33,4744
0,5,0,0,0,0,0.33,4757
0,5,0,0,0,0,0.33,4757
0,7,0,0,0,0,0.67,4759
0,7,0,0,0,0,0.25,4759
0,8,0,0,0,0,0.5,4774
0,8,0,0,0,0,1,4774
0,8,0,0,0,1,1,4774
0,8,0,0,0,0,0.33,4774
0,8,0,0,1,0,0.67,4780
0,8,0,0,0,0,1,4780
0,8,0,0,0,0,0.33,4780
0,3,0,0,0,0,1,4784
0,8,0,0,0,0,1,4786
0,7,0,0,0,0,1.33,4789
0,7,0,0,0,0,0.5,4789
0,7,0,0,0,0,0.33,4789
0,7,0,0,0,0,2,4789
0,8,0,0,0,0,0.75,4793
0,4,0,0,0,0,0.67,4794
0,8,0,0,0,0,0.33,4805
0,8,0,0,0,0,0.11,4805
0,5,0,0,0,0,1,4823
